# scenario=step-free
t,iq_ref,iq,id,vd,vq,omega,theta_e,duty_a,duty_b,duty_c
0.0101,0.5,0.494621,0.00111098,-0.162897,3.60332,15.8384,0.76874,0.24727,0.75273,0.391963
0.01015,0.5,0.494622,0.00111117,-0.163875,3.60805,15.928,0.777479,0.24639,0.75361,0.395726
0.0102,0.5,0.494622,0.00111136,-0.164854,3.61278,16.0177,0.786266,0.245526,0.754474,0.399529
0.01025,0.5,0.494622,0.00111155,-0.165833,3.61751,16.1073,0.795102,0.244678,0.755322,0.403371
0.0103,0.5,0.494623,0.00111174,-0.166811,3.62224,16.1969,0.803989,0.243847,0.756153,0.407254
0.01035,0.5,0.494623,0.00111194,-0.167791,3.62697,16.2866,0.812924,0.243033,0.756967,0.411177
0.0104,0.5,0.494623,0.00111215,-0.16877,3.6317,16.3762,0.821909,0.242237,0.757763,0.415139
0.01045,0.5,0.494624,0.00111234,-0.169749,3.63643,16.4658,0.830943,0.241459,0.758541,0.419141
0.0105,0.5,0.494624,0.00111252,-0.170729,3.64115,16.5554,0.840027,0.240699,0.759301,0.423183
0.01055,0.5,0.494624,0.00111271,-0.171709,3.64588,16.645,0.849159,0.239959,0.760041,0.427263
0.0106,0.5,0.494624,0.00111289,-0.172688,3.65061,16.7346,0.858341,0.239238,0.760762,0.431384
0.01065,0.5,0.494625,0.00111307,-0.173668,3.65533,16.8242,0.867572,0.238537,0.761463,0.435543
0.0107,0.5,0.494625,0.0011133,-0.174648,3.66006,16.9138,0.876852,0.237856,0.762144,0.439741
0.01075,0.5,0.494625,0.00111349,-0.175629,3.66479,17.0034,0.886182,0.237196,0.762804,0.443978
0.0108,0.5,0.494626,0.00111368,-0.176609,3.66951,17.093,0.895561,0.236558,0.763442,0.448253
0.01085,0.5,0.494626,0.00111387,-0.17759,3.67424,17.1826,0.90499,0.235941,0.764059,0.452567
0.0109,0.5,0.494626,0.00111406,-0.178571,3.67896,17.2721,0.914467,0.235347,0.764653,0.456919
0.01095,0.5,0.494627,0.00111424,-0.179552,3.68369,17.3617,0.923994,0.234776,0.765224,0.461309
0.011,0.5,0.494627,0.00111442,-0.180533,3.68841,17.4513,0.933569,0.234228,0.765772,0.465736
0.01105,0.5,0.494627,0.0011146,-0.181515,3.69314,17.5409,0.943194,0.233704,0.766296,0.4702
0.0111,0.5,0.494628,0.00111479,-0.182496,3.69786,17.6304,0.952869,0.233204,0.766796,0.474702
0.01115,0.5,0.494628,0.00111501,-0.183478,3.70259,17.72,0.962593,0.232729,0.767271,0.47924
0.0112,0.5,0.494628,0.00111521,-0.18446,3.70731,17.8095,0.972367,0.23228,0.76772,0.483815
0.01125,0.5,0.494629,0.0011154,-0.185442,3.71204,17.8991,0.982189,0.231856,0.768144,0.488426
0.0113,0.5,0.494629,0.0011156,-0.186424,3.71676,17.9886,0.992061,0.231459,0.768541,0.493072
0.01135,0.5,0.494629,0.00111579,-0.187407,3.72148,18.0781,1.00198,0.231088,0.768912,0.497754
0.0114,0.5,0.494629,0.00111598,-0.188389,3.7262,18.1677,1.01195,0.230745,0.769255,0.502471
0.01145,0.5,0.49463,0.00111615,-0.189372,3.73093,18.2572,1.02197,0.230429,0.769571,0.507223
0.0115,0.5,0.49463,0.00111633,-0.190355,3.73565,18.3467,1.03204,0.230142,0.769858,0.512008
0.01155,0.5,0.49463,0.00111652,-0.191338,3.74037,18.4362,1.04216,0.229884,0.770116,0.516827
0.0116,0.5,0.494631,0.00111671,-0.192321,3.74509,18.5257,1.05232,0.229655,0.770345,0.52168
