# scenario=calib
t,state,theta_e_cmd,v_d,theta_m_enc,mech_accum,id,iq
0.203991,1,0,2.72055,1.23639,0,0.484836,0.0161465
0.204991,1,0,2.73388,1.23639,0,0.487219,0.0161129
0.205991,1,0,2.74721,1.23639,0,0.489602,0.0160786
0.206991,1,0,2.76055,1.23639,0,0.491985,0.0160433
0.207991,1,0,2.77388,1.23639,0,0.494368,0.0160073
0.208991,1,0,2.78721,1.23639,0,0.496751,0.0159703
0.209991,1,0,2.80054,1.23639,0,0.499135,0.0159326
0.21099,1,0,2.81387,1.23639,0,0.501518,0.015894
0.21199,1,0,2.8272,1.23639,0,0.503901,0.0158546
0.21299,1,0,2.84054,1.23639,0,0.506284,0.0158145
0.21399,1,0,2.85387,1.23639,0,0.508667,0.0157735
0.21499,1,0,2.8672,1.23639,0,0.51105,0.0157318
0.21599,1,0,2.88053,1.23639,0,0.513433,0.0156893
0.21699,1,0,2.89386,1.23639,0,0.515816,0.015646
0.21799,1,0,2.90719,1.23639,0,0.518199,0.015602
0.218989,1,0,2.92053,1.23639,0,0.520582,0.0155572
0.219989,1,0,2.93386,1.23639,0,0.522965,0.0155118
0.220989,1,0,2.94719,1.23639,0,0.525348,0.0154656
0.221989,1,0,2.96052,1.23639,0,0.527731,0.0154187
0.222989,1,0,2.97385,1.23639,0,0.530115,0.0153711
0.223989,1,0,2.98718,1.23639,0,0.532498,0.0153228
0.224989,1,0,3.00051,1.23639,0,0.534881,0.0152738
0.225988,1,0,3.01385,1.23639,0,0.537264,0.0152242
0.226988,1,0,3.02718,1.23639,0,0.539647,0.0151739
0.227988,1,0,3.04051,1.23639,0,0.54203,0.0151229
0.228988,1,0,3.05384,1.23639,0,0.544413,0.0150714
0.229988,1,0,3.06717,1.23639,0,0.546796,0.0150192
0.230988,1,0,3.0805,1.23639,0,0.549179,0.0149663
0.231988,1,0,3.09384,1.23639,0,0.551562,0.0149129
0.232988,1,0,3.10717,1.23639,0,0.553945,0.0148589
0.233987,1,0,3.1205,1.23639,0,0.556328,0.0148043
0.234987,1,0,3.13383,1.23639,0,0.558711,0.0147491
0.235987,1,0,3.14716,1.23639,0,0.561094,0.0146933
0.236987,1,0,3.16049,1.23639,0,0.563477,0.014637
0.237987,1,0,3.17383,1.23639,0,0.56586,0.0145802
0.238987,1,0,3.18716,1.23639,0,0.568243,0.0145228
0.239987,1,0,3.20049,1.23639,0,0.570626,0.0144649
0.240986,1,0,3.21382,1.23639,0,0.573009,0.0144065
0.241986,1,0,3.22715,1.23639,0,0.575392,0.0143475
0.242986,1,0,3.24048,1.23639,0,0.577775,0.0142881
0.243986,1,0,3.25381,1.23639,0,0.580158,0.0142282
0.244986,1,0,3.26715,1.23639,0,0.582541,0.0141678
0.245986,1,0,3.28048,1.23639,0,0.584924,0.014107
0.246986,1,0,3.29381,1.23639,0,0.587306,0.0140457
0.247986,1,0,3.30714,1.23639,0,0.589689,0.0139839
0.248985,1,0,3.32047,1.23639,0,0.592072,0.0139218
0.249985,1,0,3.3338,1.23639,0,0.594455,0.0138592
0.250985,1,0,3.34714,1.23639,0,0.596838,0.0137962
0.251986,1,0,3.36048,1.23639,0,0.599221,0.0137328
0.252986,1,0,3.37381,1.23639,0,0.601605,0.013669
0.253986,1,0,3.38715,1.23639,0,0.603988,0.0136048
0.254986,1,0,3.40048,1.23639,0,0.606372,0.0135402
0.255986,1,0,3.41382,1.23639,0,0.608755,0.0134753
0.256986,1,0,3.42715,1.23639,0,0.611139,0.0134101
0.257987,1,0,3.44049,1.23639,0,0.613522,0.0133444
0.258987,1,0,3.45382,1.23639,0,0.615905,0.0132785
0.259987,1,0,3.46716,1.23639,0,0.618289,0.0132122
0.260987,1,0,3.48049,1.23639,0,0.620672,0.0131456
0.261987,1,0,3.49383,1.23639,0,0.623055,0.0130787
0.262987,1,0,3.50717,1.23639,0,0.625439,0.0130115
0.263988,1,0,3.5205,1.23639,0,0.627822,0.012944
0.264988,1,0,3.53384,1.23639,0,0.630205,0.0128763
0.265988,1,0,3.54717,1.23639,0,0.632589,0.0128082
0.266988,1,0,3.56051,1.23639,0,0.634972,0.0127399
0.267988,1,0,3.57384,1.23639,0,0.637355,0.0126714
0.268988,1,0,3.58718,1.23639,0,0.639738,0.0126026
0.269989,1,0,3.60051,1.23639,0,0.642122,0.0125336
0.270989,1,0,3.61385,1.23639,0,0.644505,0.0124644
0.271989,1,0,3.62719,1.23639,0,0.646888,0.0123949
0.272989,1,0,3.64052,1.23639,0,0.649271,0.0123253
0.273989,1,0,3.65386,1.23639,0,0.651654,0.0122555
0.274989,1,0,3.66719,1.23639,0,0.654037,0.0121854
0.27599,1,0,3.68053,1.23639,0,0.65642,0.0121152
0.27699,1,0,3.69386,1.23639,0,0.658804,0.0120448
0.27799,1,0,3.7072,1.23639,0,0.661187,0.0119743
0.27899,1,0,3.72053,1.23639,0,0.66357,0.0119036
0.27999,1,0,3.73387,1.23639,0,0.665953,0.0118328
0.28099,1,0,3.74721,1.23485,0,0.668336,0.0117619
0.281991,1,0,3.76054,1.23485,0,0.670719,0.0116908
0.282991,1,0,3.77388,1.23485,0,0.673102,0.0116196
0.283991,1,0,3.78721,1.23485,0,0.675485,0.0115483
0.284991,1,0,3.80055,1.23485,0,0.677868,0.0114769
0.285991,1,0,3.81388,1.23485,0,0.680251,0.0114054
0.286991,1,0,3.82722,1.23485,0,0.682634,0.0113338
0.287992,1,0,3.84055,1.23485,0,0.685017,0.0112621
0.288992,1,0,3.85389,1.23485,0,0.6874,0.0111904
0.289992,1,0,3.86723,1.23485,0,0.689782,0.0111186
0.290992,1,0,3.88056,1.23485,0,0.692165,0.0110468
0.291992,1,0,3.8939,1.23485,0,0.694548,0.0109749
0.292992,1,0,3.90723,1.23485,0,0.696931,0.010903
0.293993,1,0,3.92057,1.23485,0,0.699314,0.0108311
0.294993,1,0,3.9339,1.23485,0,0.701696,0.0107591
0.295993,1,0,3.94724,1.23485,0,0.704079,0.0106871
0.296993,1,0,3.96057,1.23485,0,0.706462,0.0106152
0.297993,1,0,3.97391,1.23485,0,0.708845,0.0105432
0.298993,1,0,3.98725,1.23485,0,0.711227,0.0104712
0.299994,2,0,4,1.23485,0,0.713595,0.010399
0.300994,2,0,4,1.23485,0,0.714183,0.0103011
0.301994,2,0,4,1.23485,0,0.71421,0.0101961
0.302994,2,0,4,1.23485,0,0.714211,0.0100919
0.303994,2,0,4,1.23485,0,0.714213,0.00998875
0.304994,2,0,4,1.23485,0,0.714214,0.00988666
0.305995,2,0,4,1.23485,0,0.714216,0.00978561
0.306995,2,0,4,1.23485,0,0.714217,0.00968559
0.307995,2,0,4,1.23485,0,0.714218,0.00958659
0.308995,2,0,4,1.23485,0,0.71422,0.0094886
0.309995,2,0,4,1.23485,0,0.714221,0.00939162
0.310995,2,0,4,1.23485,0,0.714222,0.00929562
0.311996,2,0,4,1.23485,0,0.714224,0.00920061
0.312996,2,0,4,1.23485,0,0.714225,0.00910657
0.313996,2,0,4,1.23485,0,0.714226,0.0090135
0.314996,2,0,4,1.23485,0,0.714227,0.00892137
0.315996,2,0,4,1.23485,0,0.714228,0.00883018
0.316996,2,0,4,1.23485,0,0.714229,0.00873992
0.317997,2,0,4,1.23485,0,0.71423,0.00865059
0.318997,2,0,4,1.23485,0,0.714232,0.00856217
0.319997,2,0,4,1.23485,0,0.714233,0.00847465
0.320997,2,0,4,1.23485,0,0.714234,0.00838803
0.321997,2,0,4,1.23485,0,0.714235,0.0083023
0.322997,2,0,4,1.23485,0,0.714236,0.00821743
0.323998,2,0,4,1.23485,0,0.714237,0.00813344
0.324998,2,0,4,1.23485,0,0.714238,0.00805031
0.325998,2,0,4,1.23485,0,0.714239,0.00796802
0.326998,2,0,4,1.23485,0,0.714239,0.00788658
0.327998,2,0,4,1.23485,0,0.71424,0.00780597
0.328998,2,0,4,1.23485,0,0.714241,0.00772618
0.329999,2,0,4,1.23485,0,0.714242,0.0076472
0.330999,2,0,4,1.23485,0,0.714243,0.00756904
0.331999,2,0,4,1.23485,0,0.714244,0.00749167
0.332999,2,0,4,1.23485,0,0.714245,0.0074151
0.333999,2,0,4,1.23485,0,0.714245,0.0073393
0.334999,2,0,4,1.23485,0,0.714246,0.00726428
0.336,2,0,4,1.23485,0,0.714247,0.00719003
0.337,2,0,4,1.23485,0,0.714248,0.00711654
0.338,2,0,4,1.23485,0,0.714248,0.0070438
0.339,2,0,4,1.23485,0,0.714249,0.0069718
0.34,2,0,4,1.23485,0,0.71425,0.00690054
0.341,2,0,4,1.23485,0,0.714251,0.00683
0.342001,2,0,4,1.23485,0,0.714251,0.00676019
0.343001,2,0,4,1.23485,0,0.714252,0.00669109
0.344001,2,0,4,1.23485,0,0.714253,0.0066227
0.345001,2,0,4,1.23485,0,0.714253,0.006555
