# scenario=step
t,iq_ref,iq,id,vd,vq,omega,theta_e,duty_a,duty_b,duty_c
0.00619999,0.5,0.499999,1.97678e-08,-1.9579e-06,2.80001,0.000194203,5.2669e-06,0.499998,0.702073,0.297927
0.00624999,0.5,0.499999,2.43537e-08,-1.951e-06,2.80001,0.000196183,5.37431e-06,0.499998,0.702073,0.297927
0.00629999,0.5,0.499999,1.80779e-08,-1.99835e-06,2.80001,0.000198162,5.48281e-06,0.499998,0.702073,0.297927
0.00634999,0.5,0.499999,1.49512e-08,-1.97876e-06,2.80001,0.000200141,5.5924e-06,0.499998,0.702073,0.297927
0.00639999,0.5,0.499999,2.07735e-08,-1.97423e-06,2.80001,0.000202121,5.70307e-06,0.499998,0.702073,0.297927
0.00644999,0.5,0.499999,1.99104e-08,-2.02543e-06,2.80001,0.0002041,5.81484e-06,0.499998,0.702074,0.297926
0.00649999,0.5,0.499999,2.16479e-08,-2.03807e-06,2.80001,0.000206079,5.92769e-06,0.499998,0.702074,0.297926
0.00654999,0.5,0.499999,3.18655e-08,-2.06693e-06,2.80001,0.000208059,6.04164e-06,0.499998,0.702074,0.297926
0.00659999,0.5,0.5,2.88191e-08,-2.15274e-06,2.80001,0.000210038,6.15667e-06,0.499998,0.702074,0.297926
0.00664999,0.5,0.5,2.68678e-08,-2.16087e-06,2.80001,0.000212017,6.27279e-06,0.499998,0.702074,0.297926
0.00669999,0.5,0.5,2.38726e-08,-2.17347e-06,2.80001,0.000213997,6.39e-06,0.499998,0.702074,0.297926
0.00674999,0.5,0.5,2.83006e-08,-2.17753e-06,2.80001,0.000215976,6.50829e-06,0.499997,0.702074,0.297926
0.00679999,0.5,0.5,2.88577e-08,-2.22746e-06,2.80001,0.000217956,6.62768e-06,0.499997,0.702074,0.297926
0.00684999,0.5,0.5,3.0303e-08,-2.256e-06,2.80001,0.000219935,6.74815e-06,0.499997,0.702074,0.297926
0.00689999,0.5,0.5,2.22903e-08,-2.29083e-06,2.80001,0.000221914,6.86971e-06,0.499997,0.702074,0.297926
0.00694999,0.5,0.5,1.65673e-08,-2.26512e-06,2.80001,0.000223894,6.99237e-06,0.499997,0.702074,0.297926
0.00699999,0.5,0.5,2.11178e-08,-2.24733e-06,2.80001,0.000225873,7.11611e-06,0.499997,0.702074,0.297926
0.00704999,0.5,0.5,2.01152e-08,-2.29164e-06,2.80001,0.000227852,7.24094e-06,0.499997,0.702074,0.297926
0.00709999,0.5,0.5,2.88591e-08,-2.30367e-06,2.80001,0.000229832,7.36685e-06,0.499997,0.702074,0.297926
0.00714999,0.5,0.5,2.54216e-08,-2.3785e-06,2.80001,0.000231811,7.49386e-06,0.499997,0.702074,0.297926
0.00719999,0.5,0.5,1.57676e-08,-2.38142e-06,2.80002,0.00023379,7.62195e-06,0.499997,0.702074,0.297926
0.00724999,0.5,0.5,2.35305e-08,-2.3407e-06,2.80002,0.00023577,7.75114e-06,0.499997,0.702074,0.297926
0.00729999,0.5,0.5,2.36096e-08,-2.40529e-06,2.80002,0.000237749,7.88141e-06,0.499997,0.702074,0.297926
0.00734999,0.5,0.5,2.74955e-08,-2.42651e-06,2.80002,0.000239728,8.01277e-06,0.499997,0.702074,0.297926
0.00739999,0.5,0.5,3.26554e-08,-2.47267e-06,2.80002,0.000241708,8.14522e-06,0.499997,0.702074,0.297926
0.00744999,0.5,0.5,2.66277e-08,-2.53057e-06,2.80002,0.000243687,8.27876e-06,0.499997,0.702074,0.297926
0.00749999,0.5,0.5,2.7589e-08,-2.51991e-06,2.80002,0.000245666,8.41338e-06,0.499997,0.702074,0.297926
0.00754999,0.5,0.5,2.63671e-08,-2.54962e-06,2.80002,0.000247645,8.5491e-06,0.499997,0.702074,0.297926
0.00759999,0.5,0.5,2.74764e-08,-2.5659e-06,2.80002,0.000249625,8.6859e-06,0.499997,0.702074,0.297926
0.00764999,0.5,0.5,2.24203e-08,-2.59634e-06,2.80002,0.000251604,8.82379e-06,0.499997,0.702074,0.297926
0.00769999,0.5,0.5,1.83506e-08,-2.58747e-06,2.80002,0.000253584,8.96278e-06,0.499997,0.702074,0.297926
0.00774999,0.5,0.5,2.34399e-08,-2.5806e-06,2.80002,0.000255563,9.10285e-06,0.499997,0.702074,0.297926
0.00779999,0.5,0.5,2.61417e-08,-2.63e-06,2.80002,0.000257542,9.244e-06,0.499996,0.702074,0.297926
0.00784999,0.5,0.5,2.27631e-08,-2.66827e-06,2.80002,0.000259522,9.38625e-06,0.499996,0.702074,0.297926
0.00789999,0.5,0.5,1.42653e-08,-2.66919e-06,2.80002,0.000261501,9.52959e-06,0.499996,0.702074,0.297926
0.00794999,0.5,0.5,1.58853e-08,-2.63368e-06,2.80002,0.00026348,9.67401e-06,0.499996,0.702074,0.297926
0.00799999,0.5,0.5,1.18188e-08,-2.65682e-06,2.80002,0.00026546,9.81952e-06,0.499996,0.702074,0.297926
0.00804999,0.5,0.5,1.1207e-08,-2.64422e-06,2.80002,0.000267439,9.96613e-06,0.499996,0.702074,0.297926
0.00809999,0.5,0.5,1.36275e-08,-2.65062e-06,2.80002,0.000269418,1.01138e-05,0.499996,0.702074,0.297926
0.00814999,0.5,0.5,1.04821e-08,-2.67629e-06,2.80002,0.000271397,1.02626e-05,0.499996,0.702074,0.297926
0.00819999,0.5,0.5,1.2954e-08,-2.66773e-06,2.80002,0.000273376,1.04125e-05,0.499996,0.702074,0.297926
0.00824999,0.5,0.5,1.61883e-08,-2.6931e-06,2.80002,0.000275355,1.05634e-05,0.499996,0.702074,0.297926
0.00829999,0.5,0.5,2.42721e-08,-2.72563e-06,2.80002,0.000277334,1.07155e-05,0.499996,0.702074,0.297926
0.00834999,0.5,0.5,2.62841e-08,-2.79269e-06,2.80002,0.000279313,1.08686e-05,0.499996,0.702074,0.297926
0.00839999,0.5,0.5,2.7303e-08,-2.82719e-06,2.80002,0.000281292,1.10228e-05,0.499996,0.702074,0.297926
0.00844999,0.5,0.5,2.75518e-08,-2.85697e-06,2.80002,0.000283271,1.11781e-05,0.499996,0.702074,0.297926
0.00849999,0.5,0.5,2.31027e-08,-2.88261e-06,2.80002,0.00028525,1.13345e-05,0.499996,0.702074,0.297926
0.00854999,0.5,0.5,2.70722e-08,-2.87777e-06,2.80002,0.000287229,1.1492e-05,0.499996,0.702074,0.297926
0.00859999,0.5,0.5,3.41991e-08,-2.92403e-06,2.80002,0.000289208,1.16506e-05,0.499996,0.702074,0.297926
0.00864999,0.5,0.5,3.58668e-08,-2.99442e-06,2.80002,0.000291187,1.18102e-05,0.499996,0.702074,0.297926
0.00869999,0.5,0.5,3.29467e-08,-3.0354e-06,2.80002,0.000293166,1.1971e-05,0.499995,0.702074,0.297926
0.00874999,0.5,0.5,3.23614e-08,-3.04787e-06,2.80002,0.000295145,1.21328e-05,0.499995,0.702074,0.297926
0.00879999,0.5,0.5,3.79693e-08,-3.07303e-06,2.80002,0.000297124,1.22958e-05,0.499995,0.702074,0.297926
0.00884999,0.5,0.5,3.65954e-08,-3.13813e-06,2.80002,0.000299104,1.24598e-05,0.499995,0.702074,0.297926
0.00889999,0.5,0.5,4.16874e-08,-3.16256e-06,2.80002,0.000301083,1.26249e-05,0.499995,0.702074,0.297926
0.00894999,0.5,0.5,3.17929e-08,-3.22802e-06,2.80002,0.000303062,1.27911e-05,0.499995,0.702074,0.297926
0.00899999,0.5,0.5,2.97585e-08,-3.20003e-06,2.80002,0.000305041,1.29584e-05,0.499995,0.702074,0.297926
0.00904999,0.5,0.5,3.24634e-08,-3.21471e-06,2.80002,0.00030702,1.31267e-05,0.499995,0.702074,0.297926
0.00909999,0.5,0.5,2.69435e-08,-3.25856e-06,2.80002,0.000308999,1.32962e-05,0.499995,0.702074,0.297926
0.00914999,0.5,0.5,2.27076e-08,-3.25105e-06,2.80002,0.000310978,1.34667e-05,0.499995,0.702074,0.297926
0.00919999,0.5,0.5,1.96492e-08,-3.24707e-06,2.80002,0.000312957,1.36384e-05,0.499995,0.702074,0.297926
