# scenario=haptic-endstops
t,theta,omega,theta_finger,tau_cmd,tau_ext,iq_ref,iq
0.151998,0.79307,5.13362,0.820137,-0.00513362,0.00811992,-0.0648185,-0.0624696
0.152998,0.797672,5.0178,0.825264,-0.0050178,0.00827755,-0.0633561,-0.0625743
0.153998,0.802274,4.88327,0.830386,-0.00488327,0.00843358,-0.0616574,-0.0644403
0.154998,0.80841,5.21376,0.835503,-0.00521376,0.0081279,-0.0658303,-0.0635676
0.155998,0.813012,5.07689,0.840615,-0.00507689,0.00828078,-0.0641021,-0.0634088
0.156998,0.817614,4.92684,0.845721,-0.00492684,0.0084321,-0.0622075,-0.0650565
0.157997,0.82375,5.24589,0.850822,-0.00524589,0.00812162,-0.066236,-0.0640216
0.158997,0.828352,5.10058,0.855918,-0.00510058,0.00826972,-0.0644013,-0.0637428
0.159997,0.832954,4.9443,0.861008,-0.0049443,0.0084162,-0.0624281,-0.0653017
0.160997,0.83909,5.25877,0.866093,-0.00525877,0.00810084,-0.0663986,-0.0642012
0.161997,0.843692,5.11008,0.871172,-0.00511008,0.00824404,-0.0645212,-0.0638737
0.162997,0.848294,4.95131,0.876246,-0.00495131,0.00838561,-0.0625165,-0.0653966
0.163997,0.85443,5.26393,0.881314,-0.00526393,0.0080653,-0.0664638,-0.0642694
0.164997,0.859032,5.11388,0.886377,-0.00511388,0.0082035,-0.0645692,-0.0639219
0.165996,0.863634,4.95411,0.891434,-0.00495411,0.00834006,-0.0625519,-0.0654301
0.166996,0.86977,5.266,0.896485,-0.005266,0.00801473,-0.0664899,-0.0642916
0.167996,0.874371,5.11541,0.901531,-0.00511541,0.00814787,-0.0645885,-0.0639356
0.168996,0.878973,4.95524,0.906571,-0.00495524,0.00827934,-0.0625661,-0.0654375
0.169996,0.885109,5.26683,0.911606,-0.00526683,0.00794885,-0.0665004,-0.064294
0.170996,0.889711,5.11602,0.916634,-0.00511602,0.00807685,-0.0645962,-0.063934
0.171996,0.894313,4.95569,0.921657,-0.00495569,0.00820314,-0.0625718,-0.0654332
0.172995,0.900449,5.24194,0.926674,-0.00524194,0.00786746,-0.0661861,-0.0654645
0.173995,0.905051,5.04854,0.931685,-0.00504854,0.00799021,-0.0637442,-0.0667028
0.174995,0.911187,5.33563,0.936691,-0.00533563,0.00765104,-0.067369,-0.0652233
0.175995,0.915789,5.16675,0.94169,-0.00516675,0.00777025,-0.0652367,-0.0646076
0.176995,0.920391,4.99309,0.946683,-0.00499309,0.00788768,-0.0630441,-0.0659165
0.177995,0.926527,5.29474,0.951671,-0.00529474,0.00754316,-0.0668528,-0.0646305
0.178995,0.931129,5.16182,0.956652,-0.00516182,0.00765699,-0.0651745,-0.0629881
0.179995,0.935731,5.03859,0.961628,-0.00503859,0.00776904,-0.0636186,-0.0628075
0.180994,0.940333,4.8986,0.966597,-0.0048986,0.00787924,-0.061851,-0.0645804
0.181994,0.946469,5.22507,0.97156,-0.00522507,0.00752742,-0.0659731,-0.0636431
0.182994,0.951071,5.08523,0.976517,-0.00508523,0.00763398,-0.0642074,-0.0634355
0.183994,0.955673,4.95979,0.981468,-0.00495979,0.00773866,-0.0626236,-0.0621013
0.184994,0.960275,4.84049,0.986413,-0.00484049,0.00784149,-0.0611173,-0.0637744
0.185994,0.966411,5.18222,0.991351,-0.00518222,0.00748227,-0.0654321,-0.0630326
0.186994,0.971013,5.05363,0.996284,-0.00505363,0.00758135,-0.0638085,-0.0629818
0.187993,0.975614,4.95882,1.00121,-0.00495882,0.00767854,-0.0626114,-0.0617205
0.188993,0.980216,4.83978,1.00613,-0.00483978,0.00777385,-0.0611083,-0.0637378
0.189993,0.984818,4.752,1.01104,-0.004752,0.00786722,-0.06,-0.062625
0.190993,0.990954,5.11697,1.01595,-0.00511697,0.00749851,-0.0646082,-0.0621188
0.191993,0.995556,5.03074,1.02085,-0.00503074,0.00758809,-0.0635195,-0.0611266
0.192993,1.00016,4.94194,1.02574,-0.00494194,0.00767566,-0.0623982,-0.0614292
0.193993,1.00476,4.85414,1.03063,-0.00485414,0.00776135,-0.0612896,-0.060613
0.194993,1.00936,4.76259,1.03551,-0.00476259,0.00784507,-0.0601337,-0.0626749
0.195992,1.01396,4.69508,1.04039,-0.00469508,0.00792686,-0.0592813,-0.0618312
0.196992,1.0201,5.075,1.04525,-0.005075,0.00754641,-0.0640783,-0.0615335
0.197992,1.0247,4.9998,1.05012,-0.0049998,0.00762427,-0.0631288,-0.0606954
0.198992,1.0293,4.91912,1.05497,-0.00491912,0.00770009,-0.0621101,-0.0611113
0.199992,1.03391,4.85964,1.05982,-0.00485964,0.0077739,-0.0613591,-0.0603348
0.200992,1.03851,4.79345,1.06466,-0.00479345,0.00784571,-0.0605233,-0.0597718
0.201992,1.04311,4.71784,1.06949,-0.00471784,0.00791549,-0.0595687,-0.062054
0.202992,1.04771,4.66209,1.07432,-0.00466209,0.00798326,-0.0588647,-0.0613741
0.203991,1.05231,4.59725,1.07914,-0.00459725,0.00804899,-0.0580461,-0.061201
0.204991,1.05845,5.00286,1.08396,-0.00500287,0.00765252,-0.0631675,-0.0605606
0.205991,1.06305,4.92139,1.08877,-0.00492139,0.00771418,-0.0621387,-0.0611367
0.206991,1.06765,4.86131,1.09357,-0.00486131,0.00777372,-0.0613801,-0.060359
0.207991,1.07226,4.79468,1.09836,-0.00479468,0.00783123,-0.0605389,-0.0597884
0.208991,1.07686,4.71875,1.10315,-0.00471875,0.00788662,-0.0595801,-0.0620639
0.209991,1.08146,4.66276,1.10793,-0.00466276,0.00793995,-0.0588732,-0.0613786
0.21099,1.08606,4.59774,1.1127,-0.00459774,0.00799123,-0.0580523,-0.0612008
0.21199,1.0922,5.00323,1.11746,-0.00500323,0.00758017,-0.0631721,-0.0605564
0.21299,1.0968,4.92165,1.12222,-0.00492165,0.0076272,-0.0621421,-0.0611291
0.21399,1.1014,4.8615,1.12697,-0.0048615,0.00767205,-0.0613826,-0.0603482
