# scenario=haptic-curves
theta,free,spring,damped,detents12,detents_smooth,endstops
-1.79385,0,0.1,0,0.0892212,-0.0166993,0.1
-1.79071,0,0.1,0,0.0879646,-0.0175901,0.1
-1.78757,0,0.1,0,0.086708,-0.018381,0.1
-1.78442,0,0.1,0,0.0854513,-0.0190675,0.1
-1.78128,0,0.1,0,0.0841947,-0.0196456,0.1
-1.77814,0,0.1,0,0.0829381,-0.0201121,0.1
-1.775,0,0.1,0,0.0816814,-0.0204643,0.1
-1.77186,0,0.1,0,0.0804248,-0.0207002,0.1
-1.76872,0,0.1,0,0.0791681,-0.0208185,0.1
-1.76558,0,0.1,0,0.0779115,-0.0208185,0.1
-1.76243,0,0.1,0,0.0766549,-0.0207002,0.1
-1.75929,0,0.1,0,0.0753983,-0.0204643,0.1
-1.75615,0,0.1,0,0.0741416,-0.0201121,0.1
-1.75301,0,0.1,0,0.072885,-0.0196457,0.1
-1.74987,0,0.1,0,0.0716283,-0.0190675,0.1
