# scenario=haptic-spring
t,theta,omega,theta_finger,tau_cmd,tau_ext,iq_ref,iq
0.235987,0.820682,3.20363,1.01295,-0.0556482,0.0576818,-0.702628,-0.695117
0.236987,0.822216,2.76361,1.01642,-0.0548602,0.0582626,-0.692679,-0.697859
0.237987,0.825284,2.79451,1.01988,-0.0551061,0.0583803,-0.695783,-0.700642
0.238987,0.828352,2.81729,1.02333,-0.0553357,0.0584949,-0.698683,-0.703578
0.239987,0.83142,2.85931,1.02677,-0.0556038,0.0586065,-0.702068,-0.703715
0.240986,0.834488,2.89029,1.0302,-0.0558498,0.058715,-0.705175,-0.706788
0.241986,0.837556,2.93546,1.03362,-0.0561243,0.0588205,-0.70864,-0.709578
0.242986,0.840624,2.99557,1.03703,-0.0564286,0.0589229,-0.712482,-0.706252
0.243986,0.843692,3.0399,1.04043,-0.0567013,0.0590223,-0.715925,-0.709606
0.244986,0.84676,3.09631,1.04382,-0.0569982,0.0591186,-0.719674,-0.71189
0.245986,0.848294,2.68448,1.0472,-0.0562666,0.059672,-0.710437,-0.715361
0.246986,0.851362,2.73616,1.05057,-0.056554,0.0597621,-0.714066,-0.718724
0.247986,0.85443,2.79949,1.05393,-0.0568648,0.0598491,-0.717989,-0.719438
0.248985,0.857498,2.84618,1.05727,-0.0571422,0.0599329,-0.721493,-0.72295
0.249985,0.860566,2.92974,1.06061,-0.0574934,0.0600137,-0.725927,-0.71952
0.250985,0.863634,2.99136,1.06394,-0.0578007,0.0600916,-0.729807,-0.723325
0.251986,0.866702,3.06052,1.06726,-0.0581231,0.0601663,-0.733878,-0.725964
0.252986,0.868236,2.65809,1.07056,-0.0574103,0.0606981,-0.724878,-0.729699
0.253986,0.871303,2.74192,1.07386,-0.057762,0.0607665,-0.729319,-0.730603
0.254986,0.874371,2.80373,1.07714,-0.0580698,0.0608318,-0.733204,-0.734519
0.255986,0.877439,2.89844,1.08042,-0.0584433,0.0608938,-0.73792,-0.731399
0.256986,0.880507,2.99201,1.08368,-0.0588145,0.0609526,-0.742607,-0.734495
0.257987,0.882041,2.60757,1.08694,-0.0581376,0.0614685,-0.734061,-0.738724
0.258987,0.885109,2.70467,1.09018,-0.0585159,0.0615209,-0.738837,-0.739999
